,precision,recall,f1-score,support
Apple 6,0.9928366762177651,0.994261119081779,0.9935483870967743,697.0
Apple Braeburn 1,0.9973614775725593,0.9895287958115183,0.9934296977660972,764.0
Apple Crimson Snow 1,0.9903691813804173,0.9919614147909968,0.9911646586345381,622.0
Apple Golden 1,0.9972489683631361,0.9877384196185286,0.9924709103353866,734.0
Apple Golden 2,0.9971949509116409,0.9930167597765364,0.9951014695591324,716.0
Apple Golden 3,0.9971830985915493,0.9888268156424581,0.9929873772791025,716.0
Apple Granny Smith 1,0.9987293519695044,0.9936788874841972,0.9961977186311788,791.0
Apple Pink Lady 1,0.981029810298103,0.9958734525447043,0.9883959044368602,727.0
Apple Red 1,0.9877384196185286,0.9931506849315068,0.9904371584699453,730.0
Apple Red 2,0.9824086603518268,0.9877551020408163,0.9850746268656717,735.0
Apple Red 3,0.996969696969697,0.987987987987988,0.9924585218702866,666.0
Apple Red Delicious 1,0.9986648865153538,0.988110964332893,0.9933598937583002,757.0
Apple Red Yellow 1,0.9730423620025674,0.994750656167979,0.9837767683322518,762.0
Apple Red Yellow 2,0.9948293691830403,0.9876796714579056,0.9912416280267903,974.0
Apple hit 1,0.9980506822612085,0.9961089494163424,0.997078870496592,1028.0
Apricot 1,0.9847328244274809,0.9910371318822023,0.9878749202297384,781.0
Avocado 1,1.0,1.0,1.0,660.0
Avocado ripe 1,0.9943502824858758,0.9971671388101983,0.9957567185289958,706.0
Banana 1,0.9775910364145658,0.9985693848354793,0.9879688605803255,699.0
Banana Lady Finger 1,0.992548435171386,0.9866666666666667,0.9895988112927193,675.0
Banana Red 1,0.991869918699187,0.9945652173913043,0.9932157394843961,736.0
Beetroot 1,0.9955022488755623,0.996996996996997,0.9962490622655664,666.0
Blueberry 1,0.975,1.0,0.9873417721518987,663.0
Cabbage white 1,0.99581589958159,0.99581589958159,0.99581589958159,239.0
Cactus fruit 1,0.9739454094292804,0.9961928934010152,0.9849435382685069,788.0
Cantaloupe 1,0.9901823281907434,0.9778393351800554,0.98397212543554,722.0
Cantaloupe 2,0.953519256308101,0.9958391123439667,0.9742198100407056,721.0
Carambula 1,0.9957446808510638,0.9722991689750693,0.9838822704975473,722.0
Carrot 1,0.99581589958159,0.99581589958159,0.99581589958159,239.0
Cauliflower 1,1.0,0.995004995004995,0.9974962443665497,1001.0
Cherry 1,0.9973082099596231,0.9986522911051213,0.997979797979798,742.0
Cherry 2,0.9990757855822551,0.9881170018281535,0.9935661764705882,1094.0
Cherry Rainier 1,0.9906462585034014,0.998286203941731,0.9944515578318396,1167.0
Cherry Wax Black 1,0.9957924263674615,1.0,0.9978917779339423,710.0
Cherry Wax Red 1,0.9764705882352941,1.0,0.988095238095238,747.0
Cherry Wax Yellow 1,0.9986859395532195,0.9986859395532195,0.9986859395532195,761.0
Chestnut 1,0.986404833836858,0.986404833836858,0.986404833836858,662.0
Clementine 1,1.0,0.9769335142469471,0.9883321894303363,737.0
Cocos 1,0.9971590909090909,0.9845722300140253,0.9908256880733946,713.0
Corn 1,1.0,0.989409984871407,0.9946768060836503,661.0
Corn Husk 1,0.9985315712187959,0.9812409812409812,0.9898107714701602,693.0
Cucumber 1,1.0,0.9607843137254902,0.98,204.0
Cucumber 3,0.9970845481049563,0.991304347826087,0.9941860465116279,345.0
Cucumber Ripe 1,0.9778156996587031,0.9930675909878682,0.9853826311263972,577.0
Cucumber Ripe 2,0.9871428571428571,0.992816091954023,0.989971346704871,696.0
Dates 1,0.9931600547195623,0.9877551020408163,0.9904502046384721,735.0
Eggplant 1,0.9830508474576272,1.0,0.9914529914529915,696.0
Eggplant long 1,1.0,1.0,1.0,315.0
Fig 1,0.9940769990128332,0.9950592885375494,0.9945679012345678,1012.0
Ginger Root 1,0.9955056179775281,0.9672489082969432,0.9811738648947951,458.0
Granadilla 1,0.9986263736263736,0.9931693989071039,0.9958904109589042,732.0
Grape Blue 1,0.9889682024659312,0.9980353634577603,0.9934810951760104,1527.0
Grape Pink 1,0.9887482419127989,0.9943422913719944,0.9915373765867419,707.0
Grape White 1,0.9944211994421199,0.9902777777777778,0.9923451635351427,720.0
Grape White 2,0.995945945945946,0.9932614555256065,0.9946018893387316,742.0
Grape White 3,0.9960681520314548,0.9934640522875817,0.9947643979057592,765.0
Grape White 4,0.9905405405405405,0.9972789115646259,0.9938983050847459,735.0
Grapefruit Pink 1,0.9852744310575636,0.9986431478968792,0.9919137466307277,737.0
Grapefruit White 1,0.9986772486772487,0.9921156373193167,0.9953856295319711,761.0
Guava 1,0.9862258953168044,0.9862258953168044,0.9862258953168044,726.0
Hazelnut 1,0.984081041968162,0.9912536443148688,0.9876543209876543,686.0
Huckleberry 1,0.9973753280839895,0.9986859395532195,0.9980302035456337,761.0
Kaki 1,0.988795518207283,0.9985855728429985,0.9936664320900773,707.0
Kiwi 1,0.9944055944055944,0.9985955056179775,0.9964961457603364,712.0
Kohlrabi 1,0.9985915492957746,0.9957865168539326,0.9971870604781997,712.0
Kumquats 1,0.9930362116991643,0.9944211994421199,0.9937282229965158,717.0
Lemon 1,0.9782312925170068,0.9972260748959778,0.9876373626373627,721.0
Lemon Meyer 1,0.9885057471264368,1.0,0.9942196531791908,774.0
Limes 1,0.9945945945945946,0.9959404600811907,0.9952670723461798,739.0
Lychee 1,0.9986702127659575,0.9894598155467721,0.9940436796823297,759.0
Mandarine 1,0.9971098265895953,0.9899569583931134,0.9935205183585313,697.0
Mango 1,1.0,0.9958904109589041,0.9979409746053535,730.0
